Biaya Karyawan (IDR),Pengeluaran Listrik (IDR),Pengeluaran Air (IDR),Biaya Kebersihan (IDR),Perawatan Elektronik (IDR),Total Pengeluaran Hotel (IDR),Pendapatan Hotel (IDR)
10618101.78,10417841.92,3417156.293,2749376.233,2135765.804,29338242.03,387097232.6
19260714.6,12153539.56,1275738.629,1623545.397,700081.4244,35013619.61,307281790
15979909.13,4506550.583,4425775.535,2202239.788,1105824.529,28220299.56,190482447.6
13979877.26,9748237.394,3259023.076,1364540.064,2434198.366,30785876.16,385601971.1
7340279.607,9004443.764,1207417.476,1927100.275,1821714.634,21300955.76,143058364.9
7339917.805,12659625.28,4830521.259,1087670.219,2819922.654,28737657.21,400769755.9
5871254.183,13685218.85,2832644.585,973361.1574,1571878.521,24934357.29,412046011.5
17992642.19,1170194.801,828043.0334,1776866.38,2674530.915,24442277.32,419965195.8
14016725.18,10436278.87,3320748.07,1544576.055,1622388.594,30940716.76,262812186.9
15621088.67,1725701.188,1639395.082,1780655.471,2948120.697,23714961.1,136616345.5
5308767.414,8684021.311,4116620.533,931315.6857,2899585.953,21940310.9,94875620.03
19548647.78,5026858.207,4180199.331,1164177.712,1322841.764,31242724.8,384512562.7
17486639.61,5294872.393,4905263.101,343304.0858,2714809.176,30744888.37,448817623
8185086.66,5941419.048,2758412.89,251601.4796,2619028.436,19755548.51,342877261.5
7727374.508,9698094.287,2547305.959,835025.6761,1026700.993,21834501.42,114872027.2
7751067.648,5676699.519,3890640.225,315315.8921,2060726.002,19694449.29,470703401.8
9563633.644,11257786.71,1096117.954,400946.655,681705.789,23000190.75,495095906.5
12871346.47,6663383.398,2961119.812,2457492.376,2591776.801,27545118.86,245020374.5
11479175.28,1956944.804,2958114.201,212733.7213,936364.7088,17543332.71,317671380.2
9368437.103,11972637.79,902629.0526,2010934.102,677036.7535,24931674.81,399752834
14177793.42,5000616.544,2380928.385,890417.4716,1500547.739,23950303.56,381375405.5
7092407.91,7058736.314,4339781.594,2627482.474,1942305.346,23060713.64,485504236.4
9382169.728,10596214.37,4352691.299,1506477.625,2637292.396,28474845.41,101697391
10495427.65,5654386.2,946569.4921,986171.7321,2935606.314,21018161.39,311326189.8
11841049.76,1792199.186,908243.9724,1601152.913,1598731.281,17741377.12,361369138.9
16777639.42,6234894.658,1682129.647,1207678.255,651117.3075,26553459.29,450544290.9
7995106.732,14222280.16,4436447.281,1736473.088,2372788.948,30763096.21,443349332.5
12713516.58,9984281.562,1080061.633,432145.3181,1912933.141,26122938.23,490099907.1
13886218.53,10400708.08,3739985.612,2991272.458,1619728.362,32637913.05,280435304.3
5696756.191,9851950.151,955245.2883,1334112.045,1273172.197,19111235.87,423842390.1
14113172.78,3785889.945,3304120.342,1109868.855,1755996.32,24069048.24,242276768.7
7557861.855,6856674.097,2102302.846,2159608.56,1346699.011,20023146.37,240041245
5975773.895,11513157.18,4050112.833,1155308.279,2392529.669,25086881.85,164006764
19233283.06,2419220.566,1551607.02,2516495.485,1859734.241,27580340.37,418206779.2
19484480.5,4889938.865,3376408.232,1417385.101,2692119.435,31860332.13,493616797.6
17125960.22,4868467.519,1560571.406,2186719.398,1858859.787,27600578.33,165353777.8
9569206.538,7048264.986,3711471.274,411614.3277,1095656.033,21836213.16,75259214.61
6465081.71,14725162.37,4431551.156,2553745.638,2627729.706,30803270.58,416994096.8
