Biaya Karyawan (IDR),Pengeluaran Listrik (IDR),Pengeluaran Air (IDR),Biaya Kebersihan (IDR),Perawatan Elektronik (IDR),Total Pengeluaran Hotel (IDR),Pendapatan Hotel (IDR),Total_Pengeluaran_Operasional
0.3746386132245708,0.6729906102743732,3417156.293,2749376.233,2135765.804,29338242.03,387097232.6,6166533.19899061
0.9509822239992752,0.7970276845636504,1275738.629,1623545.397,700081.4244,35013619.61,307281790.0,2899284.8230276844
0.7321975450820956,0.2505556966029874,4425775.535,2202239.788,1105824.529,28220299.56,190482447.6,6628015.573555697
0.5988228800788465,0.6251390810553221,3259023.076,1364540.064,2434198.366,30785876.16,385601971.1,4623563.765139081
0.1560528792561935,0.5719858223228849,1207417.476,1927100.275,1821714.634,21300955.76,143058364.9,3134518.3229858223
0.15602875203038707,0.8331937716756788,4830521.259,1087670.219,2819922.654,28737657.21,400769755.9,5918192.311193772
0.05808905340613063,0.906485123176678,2832644.585,973361.1574,1571878.521,24934357.29,412046011.5,3806006.648885123
0.8664192050691756,0.012131791165521516,828043.0334,1776866.38,2674530.915,24442277.32,419965195.8,2604909.425531791
0.6012801304155957,0.6743081584948212,3320748.07,1544576.055,1622388.594,30940716.76,262812186.9,4865324.799308158
0.7082691470567121,0.05182959647710035,1639395.082,1780655.471,2948120.697,23714961.1,136616345.5,3420050.6048295964
0.02057890893821529,0.5490876730768484,4116620.533,931315.6857,2899585.953,21940310.9,94875620.03,5047936.767787673
0.9701834137412267,0.2877381147408407,4180199.331,1164177.712,1322841.764,31242724.8,384512562.7,5344377.330738114
0.8326757804715067,0.3068910447980954,4905263.101,343304.0858,2714809.176,30744888.37,448817623.0,5248567.493691044
0.21238991036873123,0.35309480381093744,2758412.89,251601.4796,2619028.436,19755548.51,342877261.5,3010014.722694804
0.181866794284128,0.6215557355781376,2547305.959,835025.6761,1026700.993,21834501.42,114872027.2,3382332.256655735
0.18344680141190195,0.3341773177651562,3890640.225,315315.8921,2060726.002,19694449.29,470703401.8,4205956.4512773175
0.30432006655281185,0.7330150591847959,1096117.954,400946.655,681705.789,23000190.75,495095906.5,1497065.3420150592
0.5248990966733168,0.4046880903669758,2961119.812,2457492.376,2591776.801,27545118.86,245020374.5,5418612.592688091
0.43206039301134735,0.06835481430058776,2958114.201,212733.7213,936364.7088,17543332.71,317671380.2,3170847.990654814
0.2913031373447449,0.7841000145781385,902629.0526,2010934.102,677036.7535,24931674.81,399752834.0,2913563.9387000147
0.6120211705334528,0.28586282319927636,2380928.385,890417.4716,1500547.739,23950303.56,381375405.5,3271346.1424628226
0.13952324038040814,0.4329409484006908,4339781.594,2627482.474,1942305.346,23060713.64,485504236.4,6967264.500940949
0.292218914881325,0.685737529047513,4352691.299,1506477.625,2637292.396,28474845.41,101697391.0,5859169.6097375285
0.3664579330870513,0.3325827550126002,946569.4921,986171.7321,2935606.314,21018161.39,311326189.8,1932741.556782755
0.45619245223859606,0.05658170129531867,908243.9724,1601152.913,1598731.281,17741377.12,361369138.9,2509396.941981701
0.7853952024732723,0.3740672676783543,1682129.647,1207678.255,651117.3075,26553459.29,450544290.9,2889808.2760672676
0.19972085762291603,0.9448647994930934,4436447.281,1736473.088,2372788.948,30763096.21,443349332.5,6172921.313864799
0.5143740100374475,0.6420073577223151,1080061.633,432145.3181,1912933.141,26122938.23,490099907.1,1512207.5931073576
0.5925771287357043,0.6717661853884003,3739985.612,2991272.458,1619728.362,32637913.05,280435304.3,6731258.7417661855
0.04645243322230347,0.6325506409078521,955245.2883,1334112.045,1273172.197,19111235.87,423842390.1,2289357.965850641
0.6077118610961509,0.19905557640177324,3304120.342,1109868.855,1755996.32,24069048.24,242276768.7,4413989.396055576
0.170562627762178,0.41850110263291934,2102302.846,2159608.56,1346699.011,20023146.37,240041245.0,4261911.824501103
0.06505908312582503,0.7512644392776775,4050112.833,1155308.279,2392529.669,25086881.85,164006764.0,5205421.86326444
0.9491529169202718,0.10139013779928543,1551607.02,2516495.485,1859734.241,27580340.37,418206779.2,4068102.6063901377
0.9659043371912267,0.2779535334843421,3376408.232,1417385.101,2692119.435,31860332.13,493616797.6,4793793.610953533
0.8086234173385,0.27641914012139857,1560571.406,2186719.398,1858859.787,27600578.33,165353777.8,3747291.08041914
0.3046917020659744,0.4321926424405333,3711471.274,411614.3277,1095656.033,21836213.16,75259214.61,4123086.0338926427
0.09768919611952287,0.9808019561746717,4431551.156,2553745.638,2627729.706,30803270.58,416994096.8,6985297.7748019565
0.6844225857548333,0.06750375816659882,1070608.096,2233582.162,1893047.612,22405768.92,329103523.6,3304190.325503758
0.4402702817350639,0.5189157305725585,4399680.599,713978.6575,1017102.595,25994863.18,481864460.2,5113659.775415731
0.1220624817913682,0.17941883099246153,3171088.645,521329.4283,2058769.525,16092866.67,163507648.6,3692418.2527188314
0.49531087754566516,0.9711051744486932,1071997.209,1017247.811,1394291.912,30500662.22,81962446.1,2089245.9911051744
0.034386994849147645,0.11332639097234759,2423938.349,2930604.699,2611014.031,16067633.96,271599017.4,5354543.161326391
0.9095761475444054,0.403761268751899,1223871.321,844811.5662,1633249.347,28992152.3,88459710.33,2068683.2909612688
0.25884443713979044,0.7382034476575661,3651565.5,1422768.906,2316103.395,27602527.31,167805500.5,5074335.144203448
0.6627054597580714,0.7048571171906757,3914906.605,187058.6546,738840.5191,30642402.04,106690037.4,4101965.964457117
0.3117910958803859,0.4228979552685679,976084.3412,1251959.836,1490060.866,20311972.1,150859480.8,2228044.600097955
0.5202093080564892,0.3466574233315707,2777629.337,1756828.045,2958103.591,26144919.64,97765093.77,4534457.728657423
0.5468594001548726,0.39776981091504415,4165812.752,2864061.376,2521150.724,29318252.34,479257699.7,7029874.525769811
0.1848971734319581,0.2643705956185352,4712733.687,1598534.53,899852.0059,19683804.74,175353221.1,6311268.481370596
0.9698580941098124,0.2053993769020937,2810830.4,2475411.246,1194410.124,29899082.33,249753913.7,5286241.851399377
0.7753491113102494,0.4832375574655981,4776256.506,1686670.163,1324539.522,32177014.31,454375313.4,6462927.152237557
0.9397635608120053,0.26863010335937765,2910600.367,218276.539,2125913.901,29106747.52,354794714.6,3128877.174630103
0.8950788345606512,0.28756696964373657,2273857.226,1013523.998,2392486.899,29126741.69,328116866.3,3287381.5115669696
0.5980641517086593,0.6570361328483896,4316914.078,1769093.573,2373816.522,32622908.74,367503435.7,6086008.308036133
0.9221336723052979,0.9689649478030606,2718422.197,2856722.501,1774685.141,40737466.01,422970015.7,5575145.666964948
0.08850688494114034,0.6038921319236081,2623561.298,2591478.043,2527051.345,23520399.02,444951170.5,5215039.944892132
0.19602885258261227,0.0769851633733345,2706406.202,762231.2811,1592695.207,15078788.17,339187851.8,3468637.5600851635
0.0452289497653936,0.07558864958668099,4310532.508,738318.5071,809701.4132,13595132.36,450503273.6,5048851.09068865
0.32541435525945206,0.9518427380218231,4243736.938,683401.6046,1911104.604,31038123.2,290928887.3,4927139.494442739
0.3887799415625802,0.29740074652766185,2315839.966,2775246.799,2880753.462,23964070.64,174780885.3,5091087.062400747
0.2714171832418365,0.09207982237777626,1999849.369,2572731.844,2482484.128,18414238.62,446034519.0,4572581.305079822
0.8289695596523127,0.59929734509063,2713676.108,2347161.954,1946751.619,33825276.54,293662772.3,5060838.6612973455
0.3568465910568256,0.6239131798996225,3077476.294,1238931.831,2117014.151,26515805.07,457761914.4,4316408.74891318
0.28100547969755285,0.6487809844655901,1572517.448,1562704.042,2826405.068,25254711.68,68075516.28,3135222.1387809846
0.5428440237892146,0.2674978395670107,4072797.881,1446562.06,1570856.986,24974286.56,228882088.2,5519360.208497839
0.14095402530928225,0.015087101786905185,2689172.446,834854.5119,1328485.347,13177925.26,476512258.3,3524026.9729871014
0.8024212268005532,0.9654413189298852,2003204.968,1564581.334,2943103.913,38054060.1,162342541.7,3567787.2674413193
0.07456092696781014,0.25098104472772353,980694.4683,188439.9888,2658607.834,14458504.59,473691310.7,1169134.7080810447
0.9871654904829473,0.6763154765583772,1574803.222,482250.0831,1307608.962,33632334.35,479256107.5,2057053.9814154766
0.7724602080842126,0.7069335415139772,4771765.273,2671109.829,1659451.493,36578816.31,446964041.4,7442875.808933541
0.1987624752955054,0.6102653630593546,1872948.591,2279871.324,1537695.323,23211354.3,303650620.3,4152820.525265363
0.005512102745440062,0.313024740844369,1259866.802,1326318.386,872739.1967,13922459.66,341122752.1,2586185.5010247407
0.8156895751828194,0.27119381374786533,2573027.562,1599736.051,2894548.31,29094580.9,441327649.3,4172763.8841938134
0.7070535557197809,0.5979203893409413,1881894.845,1172996.769,1510781.078,29535888.81,399153687.1,3054892.2119203894
0.7292098928276559,0.8664747705254299,658216.6262,2248261.615,2688322.707,34655247.34,333542232.3,2906479.107674771
0.7714854988906669,0.9471510266277603,1954153.478,2374142.82,973390.5692,36125014.27,492016733.5,4328297.245151026
0.07405478624864237,0.10592518980534868,2948488.808,2313527.052,1869677.027,15725043.92,358554486.4,5262015.965925191
0.3585594965849327,0.15487115013561598,2982705.674,2195574.002,559903.4628,19282769.64,488966896.6,5178279.83087115
0.11589149242536145,0.9451526113467852,2104515.145,693062.5822,2410551.21,26172472.45,75824813.57,2797578.6723526116
0.8633455815425005,0.7368530524714298,2512862.403,1080112.94,1952284.746,34803304.67,112532166.8,3592976.0798530523
0.6234697679791861,0.8833809588394972,4844830.632,1462551.761,2063973.959,36082741.8,253156480.7,6307383.276380959
0.330983686561212,0.2026977944408654,2198068.148,1059299.675,629302.2064,17686997.28,223195757.4,3257368.0256977947
0.06356540130769334,0.5878332063777814,1662020.66,2289326.58,1027595.826,20158520.52,402230678.6,3951347.8278332064
0.31106212725841575,0.7014406675863614,1595601.698,1055125.22,685827.1809,23817243.25,122276311.9,2650727.6194406673
0.3252673032985185,0.6804030078803163,2559940.757,500873.0517,1222285.79,24682415.83,489242830.6,3060814.489103008
0.7298090796321145,0.40831411081578867,3917840.669,1257217.311,2068597.519,29901871.85,191779643.9,5175058.388314111
0.6377333055753335,0.015371443785016661,1426946.829,2941751.855,1915464.961,22063054.2,243015668.5,4368698.699371444
0.887461987501626,0.5831711868141225,3691832.572,755056.0975,2030374.554,33946419.16,173635264.6,4446889.252671187
0.47234214095703475,0.25319058337327727,595174.2051,1875260.111,1873128.178,20970207.92,310713627.8,2470434.5692905835
0.11961777420837122,0.4504365906783501,2385198.401,1355621.845,1182571.989,19020865.37,76382915.19,3740820.6964365905
0.7134428772670213,0.958003446416779,3991392.793,305971.2462,1111268.743,35513438.8,117354877.5,4297364.997203447
0.7609971177114517,0.3991934233769281,2024298.301,1514842.157,842649.2088,27380059.84,385608966.5,3539140.8571934234
0.5614306015256273,0.8401683000199105,3036816.957,2136276.553,2622677.187,33972151.15,133925262.5,5173094.3501683
0.771182243078497,0.18859909711294914,1422406.548,1588337.93,2041198.396,25256019.05,155981503.2,3010744.6665990967
0.4939291580401315,0.6727479990870018,3838979.26,2629107.585,966277.5313,30255745.29,406842006.1,6468087.517747998
0.5228748996375222,0.9774385788171986,735255.9647,937917.3483,943023.4496,30135286.57,91985530.26,1673174.290438579
